03,9E,9C,03,67,D9,03,9E,E4,03,68,15,03,9E,F9,03,68,1C, 
03,9E,4F,03,67,A7,03,9E,85,03,67,C9,03,9E,9D,03,67,E6, 
03,9E,33,03,67,90,03,9E,54,03,67,AA,03,9E,4C,03,67,A3, 
03,9E,EA,03,68,24,03,9E,FA,03,68,29,03,9F,08,03,68,39, 
03,9F,14,03,68,44,03,9F,38,03,68,65,03,9F,4A,03,68,6E, 
03,9F,81,03,68,92,03,9F,88,03,68,A4,03,9F,B6,03,68,B3, 
03,9F,A3,03,68,B6,03,9F,B0,03,68,CD,03,9F,C9,03,68,DB, 
03,9F,DB,03,68,E3,03,9F,D6,03,68,E8,03,A0,0B,03,69,13, 
03,A0,24,03,69,1B,03,A0,31,03,69,2A,03,A0,3D,03,69,30, 
03,A0,57,03,69,49,03,A0,45,03,69,36,03,A0,2F,03,69,33, 
03,A0,29,03,69,2A,03,A0,2C,03,69,2E,03,A0,28,03,69,29, 
03,A0,3A,03,69,26,03,A0,26,03,69,20,03,A0,04,03,68,FC, 
03,9F,DA,03,68,E1,03,9F,A9,03,68,B4,03,9F,53,03,68,70, 
03,9E,E5,03,68,15,03,9E,88,03,67,D9,03,9E,1A,03,67,87, 
03,9D,87,03,67,21,03,9C,FC,03,66,C1,03,9C,75,03,66,53, 
03,9B,9B,03,65,C8,03,9A,E4,03,65,4F,03,9A,21,03,64,DE, 
03,99,2D,03,64,43,03,98,1F,03,63,A8,03,97,3B,03,63,36, 
03,95,F5,03,62,7D,03,94,C9,03,61,CD,03,93,82,03,61,28, 
03,92,5B,03,60,8F,03,90,E2,03,5F,B1,03,8F,B9,03,5F,37, 
03,8E,70,03,5E,99,03,8D,11,03,5D,E9,03,8B,CC,03,5D,6C, 
03,8A,C6,03,5C,EC,03,89,8D,03,5C,61,03,88,8F,03,5B,DA, 
03,87,93,03,5B,57,03,86,B8,03,5A,EB,03,85,C8,03,5A,55, 
03,85,23,03,59,F8,03,84,5D,03,59,7E,03,83,D4,03,59,15, 
03,83,5A,03,58,BB,03,82,C9,03,58,5C,03,82,49,03,58,02, 
03,82,01,03,57,D0,03,81,BB,03,57,91,03,81,5B,03,57,56, 
03,81,17,03,57,21,03,80,E1,03,56,EE,03,80,9D,03,56,BD, 
03,80,8E,03,56,A2,03,80,6B,03,56,8A,03,80,61,03,56,7F, 
03,80,57,03,56,76,03,80,3A,03,56,60,03,80,40,03,56,64, 
03,80,38,03,56,52,03,80,21,03,56,43,03,80,2B,03,56,36, 
03,80,34,03,56,50,03,80,5F,03,56,77,03,80,8B,03,56,85, 
03,80,99,03,56,8D,03,80,B1,03,56,A9,03,80,F5,03,56,C8, 
03,80,F3,03,56,CF,03,81,0C,03,56,DE,03,81,19,03,56,E7, 
03,81,5F,03,57,0D,03,81,8D,03,57,31,03,81,EA,03,57,74, 
03,82,38,03,57,9E,03,82,4F,03,57,AB,03,82,7C,03,57,CA, 
03,82,BB,03,57,F7,03,82,EB,03,58,0B,03,83,01,03,58,15, 
03,83,67,03,58,51,03,83,A6,03,58,7B,03,83,EE,03,58,93, 
03,84,48,03,58,E1,03,84,74,03,59,00,03,84,9E,03,59,0D, 
03,84,E9,03,59,3E,03,85,23,03,59,5D,03,85,5B,03,59,78, 
